ProductName,Price,PcBrand,PcModel,EltCondition,EltWarranty,LaptopScreenSize,PcCpu,PcRam,PcVga,PcDriveCapacity,EltOrigin,Address,ShopRating,Comments
"Dell N5110, i5gen2, 4core,6gb ram, ssd 1T samsung",3500000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i5,6.0,Onboard,1000.0,,Bà Rịa - Vũng Tàu,3.8,5.0
DELL LATITUDE E7470 I5 6300U 8GB SSD 256. PIN 4H,4990000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,Onboard,256.0,,Tp Hồ Chí Minh,4.5,2.0
HP ProBook 640 G2 i5 6300U RAM 8GB 128GB 14 inch,4500000.0,HP,ProBook,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i5,8.0,Onboard,128.0,Mỹ,Tp Hồ Chí Minh,5.0,23.0
Hp 15s-du1077tx i7 10510U 8g 512g vgn 2g nguyên zi,10800000.0,HP,Notebook,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i7,8.0,NVIDIA,512.0,,Tp Hồ Chí Minh,4.6,18.0
"𝐋𝐚𝐩𝐭𝐨𝐩 𝐓𝐡𝐢𝐧𝐤𝐩𝐚𝐝 𝐗𝟐𝟖𝟎 – 𝐏𝐢𝐧 𝟓𝐡 – 𝟏𝟐.𝟓"" 𝐢𝐧 SIÊU MỎNG",7900000.0,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),,11.95,Intel Core i5,8.0,Onboard,256.0,,Tp Hồ Chí Minh,4.8,17.0
pro 2015 13in retina 2k i5 8g sdd 256g đẹp nét ạ,6400000.0,Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,Onboard,256.0,,Hà Nội,4.2,32.0
Lenovo Thinkpad T14s CHÍNH HÃNG 100% ZIN,15300000.0,Lenovo,ThinkPad,Mới,,13.95,Intel Core i5,16.0,Khác,512.0,,Tp Hồ Chí Minh,4.6,11.0
Thanh lý dell vỏ nhôm i7 card rời,4300000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i7,8.0,NVIDIA,128.0,,Hà Nội,5.0,5.0
Lenovo V310 i3 th 6 4g ssd128g mỏng nhẹ nguyên zin,2900000.0,Lenovo,Dòng Khác,Đã sử dụng (chưa sửa chữa),3.0,13.95,Intel Core i3,4.0,Onboard,128.0,,Tp Hồ Chí Minh,5.0,17.0
Mới mua tháng 11 năm 2022 còn bảo hành ở fpt 18m,15000000.0,Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),9.0,15.95,Intel Core i5,16.0,NVIDIA,500.0,,Hải Phòng,,
Asus k56,3500000.0,Asus,K series,Đã sử dụng (chưa sửa chữa),1.0,15.95,Intel Core i5,8.0,NVIDIA,64.0,,Bà Rịa - Vũng Tàu,5.0,2.0
"ASUS ExpertBook B1400C 14"" FHD",14990000.0,Asus,Dòng Khác,Mới,,13.95,Intel Core i5,8.0,,256.0,,Cần Thơ,4.9,9.0
